#,type,is_trade,freq,day_count,ticker,ric_leg2,roll_rules,tcost,country,settle_d,freq_leg2,ric,ric_root,src,tenor,ccy,roll_conv,fix_cal,calc_cal,_update,curve_name,reset,fpml,roll,lag,pms_index,is_inverted,multiplier,cal
1252,IRS,0,1,30/360,SFSW20 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L20Y=,CHFAB6LIRS=,TR,20Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1253,IRS,0,1,30/360,SFSW20 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L20Y=TWEB,CHFAB6LIRS=TWEB,TWEB,20Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1254,IRS,0,1,30/360,SFSW20 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L20Y=YIN,CHFAB6LIRS=YIN,YIN-L,20Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1255,IRS,0,1,30/360,SFSW25 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L25Y=,CHFAB6LIRS=,TR,25Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1256,IRS,0,1,30/360,SFSW25 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L25Y=TWEB,CHFAB6LIRS=TWEB,TWEB,25Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1257,IRS,0,1,30/360,SFSW25 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L25Y=YIN,CHFAB6LIRS=YIN,YIN-L,25Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1258,IRS,0,1,30/360,SFSW2 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L2Y=,CHFAB6LIRS=,TR,2Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1259,IRS,0,1,30/360,SFSW2 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L2Y=TWEB,CHFAB6LIRS=TWEB,TWEB,2Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1260,IRS,0,1,30/360,SFSW2 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L2Y=YIN,CHFAB6LIRS=YIN,YIN-L,2Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1261,IRS,0,1,30/360,SFSW30 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L30Y=,CHFAB6LIRS=,TR,30Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1262,IRS,0,1,30/360,SFSW30 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L30Y=TWEB,CHFAB6LIRS=TWEB,TWEB,30Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1263,IRS,0,1,30/360,SFSW30 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L30Y=YIN,CHFAB6LIRS=YIN,YIN-L,30Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1264,IRS,0,1,30/360,SFSW3 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L3Y=,CHFAB6LIRS=,TR,3Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1265,IRS,0,1,30/360,SFSW3 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L3Y=TWEB,CHFAB6LIRS=TWEB,TWEB,3Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1266,IRS,0,1,30/360,SFSW3 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L3Y=YIN,CHFAB6LIRS=YIN,YIN-L,3Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1267,IRS,0,1,30/360,SFSW4 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L4Y=,CHFAB6LIRS=,TR,4Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1268,IRS,0,1,30/360,SFSW4 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L4Y=TWEB,CHFAB6LIRS=TWEB,TWEB,4Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1269,IRS,0,1,30/360,SFSW4 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L4Y=YIN,CHFAB6LIRS=YIN,YIN-L,4Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1270,IRS,0,1,30/360,SFSW5 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L5Y=,CHFAB6LIRS=,TR,5Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1271,IRS,0,1,30/360,SFSW5 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L5Y=TWEB,CHFAB6LIRS=TWEB,TWEB,5Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1272,IRS,0,1,30/360,SFSW5 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L5Y=YIN,CHFAB6LIRS=YIN,YIN-L,5Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1273,IRS,0,1,30/360,SFSW6 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L6Y=,CHFAB6LIRS=,TR,6Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1274,IRS,0,1,30/360,SFSW6 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L6Y=TWEB,CHFAB6LIRS=TWEB,TWEB,6Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1275,IRS,0,1,30/360,SFSW6 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L6Y=YIN,CHFAB6LIRS=YIN,YIN-L,6Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1276,IRS,0,1,30/360,SFSW7 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L7Y=,CHFAB6LIRS=,TR,7Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1277,IRS,0,1,30/360,SFSW7 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L7Y=TWEB,CHFAB6LIRS=TWEB,TWEB,7Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1278,IRS,0,1,30/360,SFSW7 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L7Y=YIN,CHFAB6LIRS=YIN,YIN-L,7Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1279,IRS,0,1,30/360,SFSW8 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L8Y=,CHFAB6LIRS=,TR,8Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1280,IRS,0,1,30/360,SFSW8 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L8Y=TWEB,CHFAB6LIRS=TWEB,TWEB,8Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1281,IRS,0,1,30/360,SFSW8 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L8Y=YIN,CHFAB6LIRS=YIN,YIN-L,8Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1282,IRS,0,1,30/360,SFSW9 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L9Y=,CHFAB6LIRS=,TR,9Y,CHF,back_eom,EN,SZ,2022-05-12 12:48:13,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1283,IRS,0,1,30/360,SFSW9 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L9Y=TWEB,CHFAB6LIRS=TWEB,TWEB,9Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1284,IRS,0,1,30/360,SFSW9 Curncy,CHF6MFSR=,,0.5,CH,2,2,CHFAB6L9Y=YIN,CHFAB6LIRS=YIN,YIN-L,9Y,CHF,back_eom,EN,SZ,2022-05-12 12:47:16,LIBOR,0,CHF-LIBOR-BBA,,0,CHF-LIBOR-BBA_6M,0,1,"SZ,YIN"
1285,FIX,1,,Act/360,SRFXON3 Index,,,0,CH,2,,CHFFIX=YIN,CHFFIX=YIN,YIN,ON,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,1,CHF-SARON-OIS-COMPOUND,,1,CHF-SARON-OIS-COMPOU,0,1,SZ
1286,IMM,0,1,Act/360,SFS00040 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS10YS1=,CHFOISSS1=,TR,10Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1287,IMM,0,1,Act/360,SFS00040 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS10YS1=TWEB,CHFOISSS1=TWEB,TWEB,10Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1288,IMM,0,1,Act/360,SFS00040 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS10YS1=YIN,CHFOISSS1=YIN,YIN-L,10Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
1289,IMM,0,1,Act/360,SFS00140 Curncy,SARON.S,5,0.5,CH,2,1,CHFOISS10YS2=,CHFOISSS2=,TR,10Y,CHF,back_eom,SZ,SZ,2022-05-12 12:47:16,SARON,-1,CHF-SARON-OIS-COMPOUND,STD,0,CHF-SARON-OIS-COMPOU,0,1,"SZ,YIN"
