#,ticker_1,ticker_root,ric_root,mic_exch,ccy,contract_size,tick_size,spread_tick_size,tick_value,r2b_mul,ex_root,bb_exch,tr_exch,type,sub_type,country,cdr_exch,underlying,region,liquid_contracts,roll_conversion,roll_rules,risk_class,is_trade,gen,cftc,cc_mic,session,sub_type_2,sub_type_1,sub_type_0,is_trade_prod,is_qc,start_date,end_date,dynamic_roll
161,PALA Comdty,PAL,DCP,XDCE,CNY,10,2,,20,1,p,DCE,,Comdty,Physical commodity future.,CN,D6,,asia,FKU,1,32;32;0,,1,7,,XDCE,PIT,Foodstuff,Agriculture,Commodity,0,1,2007-10-29,,1
162,CBA Comdty,CB,CSR,XZCE,CNY,10,1,,10,1,SR,ZCE,,Comdty,Physical commodity future.,CN,H4,,asia,FHKNUX,1,2;2;0,,0,7,,XZCE,PIT,Foodstuff,Agriculture,Commodity,0,0,2006-01-06,,0
163,APWA Comdty,APW,CAP,XZCE,CNY,10,1,,10,1,AP,ZCE,,Comdty,Physical commodity future.,CN,H4,,asia,FHKNVXZ,1,2;2;0,,0,7,,XZCE,"",Foodstuff,Agriculture,Commodity,0,0,2017-12-22,,0
164,DCEA Comdty,DCE,DJD,XDCE,CNY,5,1,,10,1,jd,DCE,,Comdty,Physical commodity future.,CN,D6,,asia,FGHJKMNQUVXZ,1,1;2;0,,0,7,,XDCE,"",Foodstuff,Agriculture,Commodity,0,0,2013-11-08,,0
165,JCIA Comdty,JCI,CZCJ,XZCE,CNY,5,5,,25,1,CJ,ZCE,,Comdty,Physical commodity future.,CN,H4,,asia,FHKNUZ,1,2;2;0,,0,7,,XZCE,"",Foodstuff,Agriculture,Commodity,0,0,2019-04-30,,0
166,CTA Comdty,CT,CT,IFUS,USc,50000,0.01,0.01,500,1,CT,NYB,,Comdty,Physical commodity future.,US,FN,,namr,HKNZ,-1,15;15;0,,1,7,NYC1C,IFUS-ICE,"",Fibers,Agriculture,Commodity,1,1,2000-01-03,,0
167,VVA Comdty,VV,CCF,XZCE,CNY,5,5,,25,1,CF,ZCE,,Comdty,Physical commodity future.,CN,H4,,asia,FHKNUX,1,2;2;0,,0,7,,XZCE,PIT,Fibers,Agriculture,Commodity,0,0,2006-01-13,,0
168,LCA Comdty,LC,LC,XCME,USc,40000,0.025,0.025,1000,1,LE,CME,,Comdty,Physical commodity future.,US,CE,,namr,GJMQVZ,-1,15;15;0,,1,7,CME1L,XCME-CML,COMB,Livestock,Livestock,Commodity,1,1,2000-01-03,,0
169,LHA Comdty,LH,LH,XCME,USc,40000,0.025,0.025,1000,1,HE,CME,,Comdty,Physical commodity future.,US,CE,,namr,GJMNQVZ,-1,15;15;0,,1,7,CME3H,XCME-CML,COMB,Livestock,Livestock,Commodity,1,1,2000-01-03,,0
170,FCA Comdty,FC,FC,XCME,USc,50000,0.025,0.025,1250,1,GF,CME,,Comdty,Physical commodity future.,US,CE,,namr,FHJKQUVX,-1,30;30;0,,1,7,CME1F,XCME-CML,COMB,Livestock,Livestock,Commodity,1,1,2000-01-03,,0
171,EDA Comdty,ED,ED,XCME,USD,1000000,0.005,,12.5,1,GE,CME,,Comdty,Financial commodity future.,US,CE,,namr,HMUZ,1,2;2;0,,1,6,IMM13,XCME-CME,COMB,Interest Rate,Interest Rate,Interest Rate,0,1,2000-01-03,,0
172,ERA Comdty,ER,FEI,IFLL,EUR,1000000,0.005,,12.5,1,I,ICF,,Comdty,Financial commodity future.,GB,L9,,euro,HMUZ,1,2;2;0,,1,6,,IFLL,"",Interest Rate,Interest Rate,Interest Rate,0,1,2000-01-04,,0
173,FFA Comdty,FF,FF,XCBT,USD,5000000,0.005,,20.835,1,ZQ,CBT,,Comdty,Financial commodity future.,US,CB,,namr,FGHJKMNQUVXZ,1,1;2;0,,0,6,,XCBT-CME,COMB,Interest Rate,Interest Rate,Interest Rate,0,0,2000-01-03,,0
174,L A Comdty,L ,FSS,IFLL,GBP,500000,0.005,,625,1,L,ICF,,Comdty,Financial commodity future.,GB,LI,,euro,HMUZ,1,2;2;0,,1,6,,IFLL,"",Interest Rate,Interest Rate,Interest Rate,0,1,2000-01-04,2021-12-17,0
175,IRA Comdty,IR,YBA,XSFE,AUD,1000000,0.01,,24.56,1,IR,SFE,,Comdty,Financial commodity future.,AU,SF,,asia,HMUZ,1,2;2;0,,0,6,,XSFE,PIT,Interest Rate,Interest Rate,Interest Rate,0,0,2000-01-04,,0
176,ODA Comdty,OD,DIJ,BVMF,BRL,100000,0.005,,1.303,1,DI1,BMF,,Comdty,Financial commodity future.,BR,BZ,,lamr,FGHJKMNQUVXZ,1,1;2;0,,0,6,,BVMF,"",Interest Rate,Interest Rate,Interest Rate,0,0,2000-01-03,,0
177,BAA Comdty,BA,BAX,XMOD,CAD,1000000,0.005,,12.5,1,BAX,MSE,,Comdty,Financial commodity future.,CA,ML,,namr,HMUZ,1,2;2;0,,1,6,,XMOD,"",Interest Rate,Interest Rate,Interest Rate,0,1,2000-01-04,,0
178,SERA Comdty,SER,S1R,XCME,USD,4167,0.005,,20.835,1,SR1,CME,,Comdty,Financial commodity future.,US,CE,,namr,FGHJKMNQUVXZ,1,1;2;0,,0,6,,XCME-CME,COMB,Interest Rate,Interest Rate,Interest Rate,0,0,2018-05-04,,0
179,SFIA Comdty,SFI,SON3,IFLL,GBP,1000000,0.0001,,25,1,SO3,ICF,,Comdty,Financial commodity future.,GB,LI,,euro,HMUZ,1,2;2;0,,1,6,,IFLL,"",Interest Rate,Interest Rate,Interest Rate,0,1,2018-06-01,,0
180,SFRA Comdty,SFR,SRA,XCME,USD,2500,0.005,,12.5,1,SR3,CME,,Comdty,Financial commodity future.,US,CE,,namr,HMUZ,1,2;2;0,,1,6,CFF9I,XCME-CME,COMB,Interest Rate,Interest Rate,Interest Rate,0,1,2018-05-04,,0
181,ONSA Comdty,ONS,1SNO,XCME,GBP,2500,0.005,,1250,1,SON,CME,,Comdty,Financial commodity future.,US,CE,,namr,HMUZ,1,2;2;0,,0,6,,XCME-CME,"",Interest Rate,Interest Rate,Interest Rate,0,0,2018-09-28,,0
182,SRLA Comdty,SRL,SOFR,IFLL,USD,4000000,0.0025,,25,1,SF3,ICF,,Comdty,Physical commodity future.,GB,LI,,euro,HMUZ,1,2;2;0,,0,7,,IFLL,"",Interest Rate,Interest Rate,Interest Rate,0,0,2018-10-22,,0
183,LEBA Comdty,LEB,FEU3,XLOD,EUR,1000000,0.005,,12.5,1,EUI,LSE,,Comdty,Financial commodity future.,GB,LS,,euro,HMUZ,1,2;2;0,,0,6,,XLOD,"",Interest Rate,Interest Rate,Interest Rate,0,0,2016-09-23,2022-01-28,0
184,ZBA Comdty,ZB,NBB,XSFE,NZD,1000000,0.01,,24.55,1,BB,SFE,,Comdty,Financial commodity future.,NZ,SF,,asia,HMUZ,1,2;2;0,,1,6,,XSFE,PIT,Interest Rate,Interest Rate,Interest Rate,0,0,2000-01-05,,0
185,MESA Index,MES,MEM,IFUS,USD,50,0.1,,5,1,MME,NYF,,Index,Physical index future.,US,NB,,namr,HMUZ,1,2;0;0,,0,3,,IFUS,"",Equity Index,Equity Index,Equity Index,0,0,2009-09-08,,0
186,MFSA Index,MFS,MFS,IFUS,USD,50,0.1,,5,1,MFS,NYF,,Index,Physical index future.,US,NB,,namr,HMUZ,1,2;0;0,,0,3,,IFUS,"",Equity Index,Equity Index,Equity Index,0,0,2009-09-08,,0
187,FFDA Index,FFD,CIC,CCFX,CNY,200,0.2,,40,1,IC,CFF,,Index,Financial index future.,CN,CH,,asia,FGHJKMNQUVXZ,1,1;0;0,,0,3,,CCFX,"",Equity Index,Equity Index,Equity Index,0,0,2015-04-16,,0
188,FFBA Index,FFB,CIH,CCFX,CNY,300,0.2,,60,1,IH,CFF,,Index,Financial index future.,CN,CH,,asia,FGHJKMNQUVXZ,1,1;0;0,,0,3,,CCFX,"",Equity Index,Equity Index,Equity Index,0,0,2015-04-16,,0
189,ZTWA Index,ZTW,FMEA,XEUR,USD,100,0.1,,10,1,FMEA,EUX,EUX,Index,Physical index future.,DE,DT,,euro,HMUZ,1,2;0;0,,0,3,,XEUR,"",Equity Index,Equity Index,Equity Index,0,0,2013-07-01,,0
190,BZ1 Index,BZ,IND,BVMF,BRL,1,5,1,5,1,IND,BMF,BMF,Index,Physical index future.,BR,B3,.BVSP,lamr,GJMQVZ,1,2;0;0,,1,3,,BVMF,"",Equity Index,Equity Index,Equity Index,0,1,2000-01-03,,0
191,SXOA Index,SXO,FXXP,XEUR,EUR,50,0.1,,5,1,FXXP,EUX,EUX,Index,Physical index future.,DE,DT,,euro,HMUZ,1,2;0;0,,0,3,,XEUR,"",Equity Index,Equity Index,Equity Index,0,0,2010-07-28,,0
192,UXA Index,UX,VX,XCBF,USD,1000,0.05,,50,1,VX,CBF,,Index,yint vol index future.,US,CW,.VIX,namr,FGHJKMNQUVXZ,1,4;0;0,,1,6,,XCBF,"",Vol Index,Vol Index,Vol Index,1,1,2004-03-26,,0
193,PMCA Index,PMC,MPJlf,IFLL,USD,10,0.001,,0.01,1,MPJ,ICF,,Index,Physical index future.,GB,IP,,euro,HMUZ,1,2;0;0,,0,3,,IFLL,"",Equity Index,Equity Index,Equity Index,0,0,2010-12-01,,0
